id,Covariate,lq,me,mean,uq,n,sd,se,inv_se,sex,strategy
1085,habitat_end,-0.629033934,-0.431217903,-0.430581627,-0.244141153,1000,0.097231047,0.003074716,105776.7152,M,Allocentric
1085,habitat_log_sl_,-0.070000709,0.102747726,0.112542023,0.342331613,1000,0.103824486,0.003283219,92768.47637,M,Allocentric
1085,habitat_start_cos_ta,-0.860872018,-0.753311096,-0.753925991,-0.64809948,1000,0.054754166,0.001731479,333553.6185,M,Allocentric
1085,habitat_start_sl_,0.004722198,0.013413305,0.013006745,0.019778643,1000,0.003951011,0.000124942,64059499.25,M,Allocentric
1085,log_RSS_wood2other,-0.629033934,-0.431217903,-0.430581627,-0.244141153,1000,0.097231047,0.003074716,105776.7152,M,Allocentric
1085,log_sl_,-0.154037716,0.01439344,0.014684635,0.184768539,1000,0.084268408,0.002664801,140821.9735,M,Allocentric
1085,mean_speed_other,31.35443016,33.31435443,33.32123473,35.40521691,1000,1.012845533,0.032028988,974.7956134,M,Allocentric
1085,mean_speed_wood,22.24387078,23.39923968,23.40181432,24.47107363,1000,0.58825046,0.018602113,2889.850982,M,Allocentric
1085,sl_,-0.01848107,-0.008751154,-0.008891463,-0.000210234,1000,0.004369812,0.000138186,52369017.84,M,Allocentric
1086,cos_ta_,-0.71797923,-0.648946269,-0.650568044,-0.588212051,1000,0.032773399,0.001036386,931015.7635,F,Egocentric
1086,dist_feedr,-0.016689435,-0.014108409,-0.014062169,-0.011400092,1000,0.001354279,4.28E-05,545235105.6,F,Egocentric
1086,habitat_end,-0.607338603,-0.471576425,-0.474050358,-0.352105625,1000,0.065316443,0.002065487,234398.5682,F,Egocentric
1086,habitat_log_sl_,-0.299398557,-0.219088764,-0.218344086,-0.127936636,1000,0.04392874,0.001389149,518206.0829,F,Egocentric
1086,habitat_start_cos_ta,-0.671638022,-0.599506608,-0.599474898,-0.527416659,1000,0.038243776,0.001209374,683720.3018,F,Egocentric
1086,habitat_start_sl_,0.013022125,0.017540094,0.017434626,0.021581829,1000,0.002197085,6.95E-05,207160089.8,F,Egocentric
1086,log_RSS_wood2other,-0.607338603,-0.471576425,-0.474050358,-0.352105625,1000,0.065316443,0.002065487,234398.5682,F,Egocentric
1086,log_sl_,0.143251276,0.247587514,0.247783719,0.356882204,1000,0.055464848,0.001753952,325060.6127,F,Egocentric
1086,mean_speed_other,26.12102267,27.44783977,27.41246316,28.64580006,1000,0.660813524,0.020896758,2290.035183,F,Egocentric
1086,mean_speed_wood,20.59040726,21.3291331,21.34027941,22.12027486,1000,0.389658519,0.012322084,6586.150472,F,Egocentric
1086,sl_,-0.025528211,-0.019137808,-0.019135401,-0.012718068,1000,0.003309063,0.000104642,91325052.14,F,Egocentric
1089,cos_ta_,-0.704148321,-0.634512913,-0.635127185,-0.563042651,1000,0.035450166,0.001121033,795725.835,M,Allocentric
1089,dist_feedr,-0.011087645,-0.008896746,-0.008903105,-0.00671672,1000,0.00112049,3.54E-05,796496883.5,M,Allocentric
1089,habitat_end,-0.382345051,-0.256640887,-0.256739764,-0.138689822,1000,0.063175263,0.001997777,250556.6224,M,Allocentric
1089,habitat_log_sl_,-0.177534562,-0.091338666,-0.09039442,0.000444358,1000,0.045500797,0.001438862,483016.5224,M,Allocentric
1089,habitat_start_cos_ta,-0.472152593,-0.404207878,-0.404037164,-0.335020239,1000,0.034400971,0.001087854,845003.6799,M,Allocentric
1089,habitat_start_sl_,0.008284483,0.012621096,0.012575686,0.016383526,1000,0.002053901,6.50E-05,237050492.4,M,Allocentric
1089,log_RSS_wood2other,-0.382345051,-0.256640887,-0.256739764,-0.138689822,1000,0.063175263,0.001997777,250556.6224,M,Allocentric
1089,log_sl_,0.235053187,0.344830053,0.349293567,0.4798163,1000,0.064722974,0.00204672,238716.85,M,Allocentric
1089,mean_speed_other,28.06160426,29.15310891,29.17526789,30.35834295,1000,0.601467546,0.019020074,2764.239081,M,Allocentric
